ID,Place (x),Knowledge (y),Action (z),ETName
Att01,-0.25,0,0.25,Earth Action
Att02,-0.25,0.25,0,Ecoscience
Att03,-0.25,-0.25,0,Ecospirituality
Att04,0,-0.25,0.25,Indigenous Justice
Att05,0,0.25,0.25,Science for Change
Att06,-0.25,0,-0.25,Small Green Steps
Att07,0,0,0,Neutral
